areaName,Borough,areaType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Gravesend,Brooklyn,neighborhood,499711,538765,552240,578434,627944,757493,756230,806517,803142,808197,828442,932792,948037,981917,996865
Greenpoint,Brooklyn,neighborhood,544932,552972,594368,762893,909602,1182634,1463750,1178345,1295936,1475631,1082596,1342498,1524741,1426032,1868750
Greenwich Village,Manhattan,neighborhood,873292,852019,1034556,926867,1073792,1344800,1865946,1428905,1387902,1382160,1209387,1355646,1445188,1438053,1190000
Greenwood,Brooklyn,neighborhood,449956,0,506234,741875,419333,909000,927063,1087330,1151875,1055000,1081417,1115789,1171300,1662293,0
Hamilton Heights,Manhattan,neighborhood,303667,106918,304833,353118,449461,498808,496547,583909,481440,551257,481000,486680,470417,445000,0
Highbridge,Bronx,neighborhood,0,0,0,0,0,0,535000,635000,0,0,0,0,0,0,0
Hillcrest,Queens,neighborhood,570667,0,567000,606250,662000,704250,787700,821786,970000,841625,846667,973214,997625,868167,0
Hollis,Queens,neighborhood,340193,306548,340533,342294,376900,409139,436042,476682,531010,561402,612333,661363,731857,711012,713750
Howard Beach,Queens,neighborhood,240021,265625,231792,192517,299664,250074,294964,350673,325874,344708,436225,505500,496560,406583,474250
Hunts Point,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inwood,Manhattan,neighborhood,0,0,273000,347000,326529,329375,355250,389625,0,402000,525000,405875,422917,0,0
Jackson Heights,Queens,neighborhood,276548,286997,291613,268118,275833,290490,345524,415453,453569,465562,493862,486629,471536,441535,442000
Jamaica,Queens,neighborhood,277347,296841,299052,314061,320376,371670,388475,424324,474629,498797,550746,600292,625304,658115,560000
Jamaica Estates,Queens,neighborhood,486930,439350,534286,478389,460944,496750,755000,433818,657386,704938,631900,785167,676600,657300,1072500
Jamaica Hills,Queens,neighborhood,460833,390000,0,0,586250,497000,592750,420562,653661,608422,501667,749375,716250,0,0
Kensington,Brooklyn,neighborhood,332550,326740,362290,299139,379699,482154,548289,602979,673791,703469,702219,679517,724229,680266,486720
Kew Gardens,Queens,neighborhood,220879,221751,215838,204517,222735,226500,241681,289811,289692,329542,317356,348256,333820,306001,260000
Kew Gardens Hills,Queens,neighborhood,227448,247655,211842,210248,213493,217268,254785,303214,298724,341385,368788,362993,414372,401187,486250
Kingsbridge,Bronx,neighborhood,0,0,0,248430,0,261159,298299,315500,378000,413498,505417,300965,280000,320000,0
Laconia,Bronx,neighborhood,300925,0,344000,316100,396667,378165,387639,395333,469519,524233,515667,539900,669750,0,0
Laurelton,Queens,neighborhood,363572,306482,319059,342011,351187,364772,396590,449844,464775,493711,542775,587935,600112,618120,620000
Little Italy,Manhattan,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,1566782,0,0
Little Neck,Queens,neighborhood,289278,252160,318659,255875,371902,328750,381500,378996,332917,470000,495833,398119,452100,480317,780000
Long Island City,Queens,neighborhood,615397,581462,632214,748512,771770,815169,956039,947065,893045,957159,891058,1055825,1014838,1018751,874616
Longwood,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower East Side,Manhattan,neighborhood,561264,526771,474250,541856,608229,647145,825812,799000,1055573,1275414,966028,1051500,1211081,1173770,841250
Manhattan,Manhattan,borough,796687,777712,808237,817430,883792,965683,1022263,1092716,1036900,1096652,1024412,1086291,1127500,1106765,1020949
Manhattan Beach,Brooklyn,neighborhood,0,0,0,0,1225000,0,0,0,0,0,0,0,0,870000,0
Marble Hill,Manhattan,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marine Park,Brooklyn,neighborhood,473625,457775,473333,471423,508142,534816,606667,635500,670480,675025,677187,713638,779500,758150,807500
Maspeth,Queens,neighborhood,461916,462251,461250,511942,552583,623292,652542,746792,769744,814271,792350,798375,890381,828794,879000
Melrose,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Village,Queens,neighborhood,516822,454675,501062,522341,570500,600208,674386,732917,781208,770125,746472,793250,844891,843292,875000
Midtown,Manhattan,neighborhood,1096153,1114509,1126875,1041135,1611132,1507319,2065186,1501364,1401889,1868512,2307936,1472048,1595352,2009804,1535675
Midtown East,Manhattan,neighborhood,634916,603188,622559,653812,679000,776449,775142,811583,822857,772794,722404,755625,764979,771958,693250
Midtown South,Manhattan,neighborhood,739337,1009829,1099824,972137,840083,889812,1066250,1283805,1582985,761375,830000,898125,753750,767500,0
Midtown West,Manhattan,neighborhood,720602,764966,778770,786277,732404,1009171,953658,1102022,954758,1263240,902864,885625,1058611,1013748,977500
Midwood,Brooklyn,neighborhood,459200,482809,478921,495113,548051,574500,713490,770473,760818,854178,702553,905848,758996,895641,818500
Mill Basin,Brooklyn,neighborhood,710000,0,0,0,810000,660000,946250,950000,925000,0,0,930750,935000,0,0
Morningside Heights,Manhattan,neighborhood,556134,506875,485500,492694,550214,646265,669901,726858,749083,670125,0,964626,946381,1050157,1262156
Morris Heights,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris Park,Bronx,neighborhood,370250,386500,355417,387042,389038,382667,410037,449244,487473,547502,640875,694034,716750,712900,0
Morrisania,Bronx,neighborhood,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mott Haven,Bronx,neighborhood,0,0,0,0,0,0,0,0,451352,0,565410,0,0,0,0
New Hyde Park,Queens,neighborhood,0,0,362000,498500,0,0,0,0,0,0,0,0,0,0,0
Nolita,Manhattan,neighborhood,0,0,0,1541644,0,0,0,0,34500,0,0,0,0,0,0
North Brooklyn,Brooklyn,submarket,528213,543368,607643,727642,838447,961461,993743,1036079,1074201,1182188,1059748,1194845,1305847,1333076,1293000
North Corona,Queens,neighborhood,474528,387593,383823,483958,513507,526379,684603,753481,815201,830798,801500,979250,833422,800000,0
Northeast Queens,Queens,submarket,381160,389724,409456,440316,451817,462075,510667,616406,599883,572625,617200,649440,653430,655627,585000
Northwest Brooklyn,Brooklyn,submarket,555253,604518,671115,724655,857277,947439,1020345,1173212,1136632,1129710,1076219,1255383,1403501,1436288,1560000
Northwest Queens,Queens,submarket,475191,470896,487844,514786,573743,573402,671703,722928,759131,834064,786451,943989,879604,867245,865000
Norwood,Bronx,neighborhood,0,0,0,0,0,0,0,380000,0,0,0,0,520000,0,0
Oakland Gardens,Queens,neighborhood,252741,292994,302013,243852,230942,232391,256366,273824,320133,321958,336000,341438,339479,333584,361375
Ocean Parkway,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Old Mill Basin,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ozone Park,Queens,neighborhood,394550,353720,362250,368380,404377,452833,488556,496536,546640,577828,603250,682833,685934,705000,0
Park Slope,Brooklyn,neighborhood,687507,748805,722831,818430,993661,1096414,1076637,1285965,1309296,1248771,1251142,1399882,1545921,1516272,1030150
Parkchester,Bronx,neighborhood,115000,101522,92750,100592,100529,110360,119783,136708,154539,184258,195547,204245,198708,201396,242000
Pelham Bay,Bronx,neighborhood,0,0,410000,0,405000,472750,274000,0,536667,549500,0,737500,0,0,0
Pelham Gardens,Bronx,neighborhood,0,455000,392500,451667,428812,415750,506194,460875,525417,547500,641700,668150,702500,638750,0
Pelham Parkway,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomonok,Queens,neighborhood,0,0,0,504000,412951,482667,436020,505000,579044,0,494000,638000,0,0,0
Port Morris,Bronx,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prospect Heights,Brooklyn,neighborhood,546795,613120,609686,717810,865163,765134,900901,931229,1222361,1183605,1214150,1134958,1205068,1265900,0
Prospect Lefferts Gardens,Brooklyn,neighborhood,163406,426867,406167,585293,486807,802571,1031889,1024777,1049612,1068500,835670,1166161,930950,1095800,0
Prospect Park,Brooklyn,submarket,622548,647138,650680,709458,814721,912296,972115,1073483,1185878,1108022,1106691,1193458,1296865,1264364,1032500
Prospect Park South,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,676497,0,0,701296,680000,0,0
Queens,Queens,borough,350904,347105,363017,372696,395760,422220,452427,506098,535823,556192,592917,654940,670604,654559,657500
Queens Village,Queens,neighborhood,352944,319751,343333,355046,397458,415292,438896,464708,506429,557114,564750,641373,682242,655361,690000
Red Hook,Brooklyn,neighborhood,177249,0,0,618500,0,0,0,0,0,0,1120075,0,0,0,0
Rego Park,Queens,neighborhood,235797,234530,216234,244196,271744,275222,294476,313479,409273,372361,386738,409164,352522,374831,388150
Richmond Hill,Queens,neighborhood,350178,363045,391736,386750,452375,475064,515441,578073,621167,665857,693444,750292,793150,733950,785000
Ridgewood,Queens,neighborhood,519262,504938,529874,577432,699292,758708,921250,933438,988562,1033222,1011000,1004708,1142167,1072000,998000
Riverdale,Bronx,neighborhood,271729,238749,245171,261708,253229,275758,263357,275907,308375,290172,306499,333725,336752,316958,340000
Rockaway All,Queens,neighborhood,330796,350923,398953,334129,345182,384650,391816,436754,462667,464884,510598,598505,674100,635843,656401
Roosevelt Island,Manhattan,neighborhood,0,0,0,0,0,340176,841452,0,0,0,0,478198,965000,0,0
Rosedale,Queens,neighborhood,357766,355154,351869,363636,387933,376504,455245,460742,487775,574945,561821,639830,655550,663350,647500
Schuylerville,Bronx,neighborhood,472500,0,366683,0,372900,455288,492500,519750,555125,665167,0,605000,721167,0,0
Seagate,Brooklyn,neighborhood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
