areaName,Borough,areaType,2011 YoY Increase (%),2012 YoY Increase (%),2013 YoY Increase (%),2014 YoY Increase (%),2015 YoY Increase (%),2016 YoY Increase (%),2017 YoY Increase (%),2018 YoY Increase (%),2019 YoY Increase (%),2020 YoY Increase (%),2021 YoY Increase (%),2022 YoY Increase (%),2023 YoY Increase (%),2024 YoY Increase (%)
Morris Heights,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morris Park,Bronx,neighborhood,4.39,-8.04,8.9,0.52,-1.64,7.15,9.56,8.51,12.31,17.05,8.29,3.27,-0.54,-100.0
Morrisania,Bronx,neighborhood,N/A,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mott Haven,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,-100.0,N/A,N/A,N/A
New Hyde Park,Queens,neighborhood,N/A,N/A,37.71,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nolita,Manhattan,neighborhood,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A,N/A
North Brooklyn,Brooklyn,submarket,2.87,11.83,19.75,15.23,14.67,3.36,4.26,3.68,10.05,-10.36,12.75,9.29,2.09,-3.01
North Corona,Queens,neighborhood,-18.32,-0.97,26.09,6.11,2.51,30.06,10.06,8.19,1.91,-3.53,22.18,-14.89,-4.01,-100.0
Northeast Queens,Queens,submarket,2.25,5.06,7.54,2.61,2.27,10.52,20.71,-2.68,-4.54,7.78,5.22,0.61,0.34,-10.77
Northwest Brooklyn,Brooklyn,submarket,8.87,11.02,7.98,18.3,10.52,7.7,14.98,-3.12,-0.61,-4.73,16.65,11.8,2.34,8.61
Northwest Queens,Queens,submarket,-0.9,3.6,5.52,11.45,-0.06,17.14,7.63,5.01,9.87,-5.71,20.03,-6.82,-1.41,-0.26
Norwood,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A,N/A,-100.0,N/A
Oakland Gardens,Queens,neighborhood,15.93,3.08,-19.26,-5.29,0.63,10.32,6.81,16.91,0.57,4.36,1.62,-0.57,-1.74,8.33
Ocean Parkway,Brooklyn,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Old Mill Basin,Brooklyn,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ozone Park,Queens,neighborhood,-10.35,2.41,1.69,9.77,11.98,7.89,1.63,10.09,5.71,4.4,13.19,0.45,2.78,-100.0
Park Slope,Brooklyn,neighborhood,8.92,-3.47,13.23,21.41,10.34,-1.8,19.44,1.81,-4.62,0.19,11.89,10.43,-1.92,-32.06
Parkchester,Bronx,neighborhood,-11.72,-8.64,8.45,-0.06,9.78,8.54,14.13,13.04,19.23,6.13,4.45,-2.71,1.35,20.16
Pelham Bay,Bronx,neighborhood,N/A,N/A,-100.0,N/A,16.73,-42.04,-100.0,N/A,2.39,-100.0,N/A,-100.0,N/A,N/A
Pelham Gardens,Bronx,neighborhood,N/A,-13.74,15.07,-5.06,-3.05,21.75,-8.95,14.0,4.2,17.21,4.12,5.14,-9.07,-100.0
Pelham Parkway,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pomonok,Queens,neighborhood,N/A,N/A,N/A,-18.07,16.88,-9.66,15.82,14.66,-100.0,N/A,29.15,-100.0,N/A,N/A
Port Morris,Bronx,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prospect Heights,Brooklyn,neighborhood,12.13,-0.56,17.73,20.53,-11.56,17.74,3.37,31.26,-3.17,2.58,-6.52,6.18,5.05,-100.0
Prospect Lefferts Gardens,Brooklyn,neighborhood,161.23,-4.85,44.1,-16.83,64.86,28.57,-0.69,2.42,1.8,-21.79,39.55,-20.17,17.71,-100.0
Prospect Park,Brooklyn,submarket,3.95,0.55,9.03,14.84,11.98,6.56,10.43,10.47,-6.57,-0.12,7.84,8.66,-2.51,-18.34
Prospect Park South,Brooklyn,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,-3.04,-100.0,N/A
Queens,Queens,borough,-1.08,4.58,2.67,6.19,6.69,7.15,11.86,5.87,3.8,6.6,10.46,2.39,-2.39,0.45
Queens Village,Queens,neighborhood,-9.4,7.38,3.41,11.95,4.49,5.68,5.88,8.98,10.01,1.37,13.57,6.37,-3.94,5.29
Red Hook,Brooklyn,neighborhood,-100.0,N/A,N/A,-100.0,N/A,N/A,N/A,N/A,N/A,N/A,-100.0,N/A,N/A,N/A
Rego Park,Queens,neighborhood,-0.54,-7.8,12.93,11.28,1.28,7.0,6.45,30.56,-9.02,3.86,5.8,-13.84,6.33,3.55
Richmond Hill,Queens,neighborhood,3.67,7.9,-1.27,16.97,5.02,8.5,12.15,7.45,7.19,4.14,8.2,5.71,-7.46,6.96
Ridgewood,Queens,neighborhood,-2.76,4.94,8.98,21.1,8.5,21.42,1.32,5.91,4.52,-2.15,-0.62,13.68,-6.14,-6.9
Riverdale,Bronx,neighborhood,-12.14,2.69,6.75,-3.24,8.9,-4.5,4.77,11.77,-5.9,5.63,8.88,0.91,-5.88,7.27
Rockaway All,Queens,neighborhood,6.08,13.69,-16.25,3.31,11.43,1.86,11.47,5.93,0.48,9.83,17.22,12.63,-5.68,3.23
Roosevelt Island,Manhattan,neighborhood,N/A,N/A,N/A,N/A,N/A,147.36,-100.0,N/A,N/A,N/A,N/A,101.8,-100.0,N/A
Rosedale,Queens,neighborhood,-0.73,-0.92,3.34,6.68,-2.95,20.91,1.21,5.87,17.87,-2.28,13.89,2.46,1.19,-2.39
Schuylerville,Bronx,neighborhood,-100.0,N/A,-100.0,N/A,22.09,8.17,5.53,6.81,19.82,-100.0,N/A,19.2,-100.0,N/A
Seagate,Brooklyn,neighborhood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sheepshead Bay,Brooklyn,neighborhood,-3.99,5.64,0.71,1.34,5.64,18.33,6.54,0.02,7.3,11.36,11.42,-16.98,0.7,-22.09
